"","state","year","total of guns","poblation","ratio"
"155","Missouri","2019",497858,6140475,0.0810780924928446
"156","Missouri","2020",708184,6151548,0.115122892644258
"157","Montana","2015",127705,1031495,0.123805738273089
"158","Montana","2016",136337,1042137,0.130824450144271
"159","Montana","2017",123938,1053862,0.117603633113254
"160","Montana","2018",117607,1061818,0.110760036089047
"161","Montana","2019",115823,1070123,0.108233352614606
"162","Montana","2020",172695,1080577,0.15981739385532
"163","Nebraska","2015",79340,1892059,0.0419331532473353
"164","Nebraska","2016",88663,1906483,0.0465060532928959
"165","Nebraska","2017",74318,1916998,0.0387679069044412
"166","Nebraska","2018",74477,1925512,0.0386790630232375
"167","Nebraska","2019",68236,1932571,0.0353084052280615
"168","Nebraska","2020",104511,1937552,0.0539397136180087
"169","Nevada","2015",127480,2868531,0.0444408653767381
"170","Nevada","2016",147992,2919555,0.0506899167852635
"171","Nevada","2017",129622,2972097,0.0436129776383476
"172","Nevada","2018",127434,3030725,0.0420473649044371
"173","Nevada","2019",128312,3090771,0.0415145606063989
"174","Nevada","2020",219349,3138259,0.0698951233789181
"175","New Hampshire","2015",136816,1337480,0.102293866076502
"176","New Hampshire","2016",165164,1343694,0.122917866716678
"177","New Hampshire","2017",129090,1350395,0.0955942520521773
"178","New Hampshire","2018",120889,1355064,0.0892127604305036
"179","New Hampshire","2019",112173,1360783,0.0824326876511538
"180","New Hampshire","2020",174662,1366275,0.127838099943276
"181","New Jersey","2015",90034,8870312,0.010150037563504
"182","New Jersey","2016",121853,8873584,0.0137321064408699
"183","New Jersey","2017",103739,8888147,0.0116716116418867
"184","New Jersey","2018",93124,8891730,0.0104731025346024
"185","New Jersey","2019",91257,8891258,0.0102636769734946
"186","New Jersey","2020",177901,8882371,0.0200285486836792
"187","New Mexico","2015",147912,2090071,0.0707688877554877
"188","New Mexico","2016",161216,2092555,0.0770426583769602
"189","New Mexico","2017",159779,2092844,0.0763453941144204
"190","New Mexico","2018",156853,2093754,0.0749147225509778
"191","New Mexico","2019",156829,2099634,0.0746934941994652
"192","New Mexico","2020",206252,2106319,0.0979205903759117
"193","New York","2015",346048,19657321,0.0176040265100214
"194","New York","2016",404772,19636391,0.0206133601637898
"195","New York","2017",382495,19593849,0.0195211772837486
"196","New York","2018",358614,19544098,0.0183489665268768
"197","New York","2019",355374,19463131,0.0182588299898922
"198","New York","2020",507940,19336776,0.0262680810906637
"199","North Carolina","2015",531876,10037218,0.052990380402219
"200","North Carolina","2016",601445,10161802,0.0591868450103633
"201","North Carolina","2017",537813,10275758,0.0523380367657549
"202","North Carolina","2018",529916,10391358,0.050995837117728
"203","North Carolina","2019",530365,10501384,0.0505042954338209
"204","North Carolina","2020",890284,10600823,0.0839825360729068
"205","North Dakota","2015",69429,755537,0.0918935803276345
"206","North Dakota","2016",72036,756114,0.0952713479713377
"207","North Dakota","2017",66977,756755,0.0885055268878303
"208","North Dakota","2018",62334,760062,0.0820117306219756
"209","North Dakota","2019",60389,763724,0.0790717589076682
"210","North Dakota","2020",85465,765309,0.111673846773003
"211","Ohio","2015",748502,11622315,0.0644021436348955
"212","Ohio","2016",875724,11640060,0.0752336328163257
"213","Ohio","2017",753072,11665706,0.0645543441605677
"214","Ohio","2018",717475,11680892,0.0614229632463
"215","Ohio","2019",638495,11696507,0.0545885194614084
"216","Ohio","2020",976751,11693217,0.0835314182572683
"217","Oklahoma","2015",359276,3910518,0.091874273433852
"218","Oklahoma","2016",364590,3928143,0.0928148491539132
"219","Oklahoma","2017",334351,3933602,0.0849986856829949
"220","Oklahoma","2018",332291,3943488,0.0842632207832254
"221","Oklahoma","2019",360043,3960676,0.0909044314657397
"222","Oklahoma","2020",470286,3980783,0.118139069625247
"223","Oregon","2015",276126,4018542,0.0687129809766826
"224","Oregon","2016",324708,4093271,0.0793272666285716
"225","Oregon","2017",341167,4147294,0.0822625548128491
"226","Oregon","2018",359682,4183538,0.0859755546621066
"227","Oregon","2019",357700,4216116,0.0848411191722429
"228","Oregon","2020",516096,4241507,0.121677507546257
"229","Pennsylvania","2015",993429,12789838,0.0776733059480503
"230","Pennsylvania","2016",1143220,12788468,0.0893946014487427
"231","Pennsylvania","2017",1062651,12794679,0.0830541352385628
"232","Pennsylvania","2018",1021943,12809107,0.0797825328494797
"233","Pennsylvania","2019",987886,12798883,0.0771853293760088
"234","Pennsylvania","2020",1452921,12783254,0.113658149951491
"235","Puerto Rico","2015",15892,3473232,0.00457556535238648
"236","Puerto Rico","2016",15861,3406672,0.00465586355246411
"237","Puerto Rico","2017",18811,3325284,0.00565696042804164
"238","Puerto Rico","2018",29275,3193344,0.00916750591229758
"239","Puerto Rico","2019",28635,3193553,0.00896650219990086
"240","Puerto Rico","2020",31671,3159343,0.0100245525731141
"241","Rhode Island","2015",22129,1056886,0.0209379251877686
"242","Rhode Island","2016",27758,1057816,0.0262408585235996
"243","Rhode Island","2017",24677,1056554,0.0233561180971346
"244","Rhode Island","2018",25030,1059338,0.0236279638793284
"245","Rhode Island","2019",24338,1058158,0.023000345884074
"246","Rhode Island","2020",51369,1057125,0.0485931181269954
"247","South Carolina","2015",326997,4896006,0.0667885210924987
"248","South Carolina","2016",402978,4963031,0.0811959465898964
"249","South Carolina","2017",396920,5027102,0.0789560267525903
"250","South Carolina","2018",280749,5091702,0.0551385371728353
"251","South Carolina","2019",328221,5157702,0.0636370616216292
"252","South Carolina","2020",530930,5218040,0.101748932549386
"253","South Dakota","2015",100268,854663,0.117318756047705
"254","South Dakota","2016",111921,863693,0.129584238844126
"255","South Dakota","2017",98573,873732,0.112818347044632
"256","South Dakota","2018",90693,879386,0.103132185411185
"257","South Dakota","2019",85426,887127,0.0962951189626739
"258","South Dakota","2020",115448,892717,0.129322058390285
"259","Tennessee","2015",654192,6595354,0.0991898236243271
"260","Tennessee","2016",714774,6651277,0.10746417567634
"261","Tennessee","2017",767953,6714748,0.114368104357751
"262","Tennessee","2018",694101,6778180,0.102402267275286
"263","Tennessee","2019",635313,6830325,0.0930135828090171
"264","Tennessee","2020",984760,6886834,0.142991685293997
"265","Texas","2015",1574266,27468531,0.0573116196130037
"266","Texas","2016",1721726,27914064,0.0616795175363931
"267","Texas","2017",1549434,28291024,0.0547676888613152
"268","Texas","2018",1571632,28624564,0.0549050109549267
"269","Texas","2019",1487212,28986794,0.0513065363489319
"270","Texas","2020",2325281,29360759,0.0791968967832201
"271","Utah","2015",254814,2983626,0.0854041357730493
"272","Utah","2016",294907,3044241,0.0968737363434761
"273","Utah","2017",270477,3103540,0.087151124200107
"274","Utah","2018",295858,3155153,0.0937697791517559
"275","Utah","2019",823270,3203383,0.257000177624717
"276","Utah","2020",1216773,3249879,0.374405631717365
"277","Vermont","2015",34588,625810,0.0552691711541842
"278","Vermont","2016",39417,624366,0.0631312403301909
"279","Vermont","2017",37610,625132,0.0601632935124102
"280","Vermont","2018",41550,624802,0.0665010675381961
"281","Vermont","2019",35843,624046,0.0574364710293792
"282","Vermont","2020",57965,623347,0.0929899397927639
"283","Virginia","2015",462997,8367303,0.0553340783762701
"284","Virginia","2016",528369,8417651,0.062769173965516
"285","Virginia","2017",520827,8471011,0.0614834522113122
"286","Virginia","2018",476760,8510920,0.0560174458225433
"287","Virginia","2019",512766,8556642,0.0599260784779824
"288","Virginia","2020",823513,8590563,0.0958625179746659
"289","Washington","2015",502280,7167287,0.0700795154428726
"290","Washington","2016",713996,7299961,0.0978081937698023
"291","Washington","2017",579678,7427951,0.0780400947717614
"292","Washington","2018",627301,7526793,0.0833424009402145
"293","Washington","2019",607170,7614024,0.0797436414700032
"294","Washington","2020",781471,7693612,0.101574007111354
"295","West Virginia","2015",249014,1843332,0.1350890669722
"296","West Virginia","2016",242350,1832435,0.132255714390961
"297","West Virginia","2017",222768,1818683,0.122488636007485
"298","West Virginia","2018",241678,1805953,0.133822973244597
"299","West Virginia","2019",206196,1795263,0.114855594974107
"300","West Virginia","2020",265705,1784787,0.148872106307363
"301","Wisconsin","2015",383280,5762927,0.0665078700458985
"302","Wisconsin","2016",561819,5775170,0.0972818116176667
"303","Wisconsin","2017",526523,5793147,0.0908872155324213
"304","Wisconsin","2018",452520,5809319,0.0778955330220289
"305","Wisconsin","2019",435685,5824581,0.0748010886963371
"306","Wisconsin","2020",731618,5832655,0.12543481484847
"307","Wyoming","2015",62339,586389,0.106309975118906
"308","Wyoming","2016",63594,585243,0.108662555553847
"309","Wyoming","2017",54711,579994,0.0943302861753742
"310","Wyoming","2018",60150,579054,0.103876322415526
"311","Wyoming","2019",61291,580116,0.105653007329569
"312","Wyoming","2020",91384,582328,0.156928741190532
